pref_num,name,2015年,2020年,2025年,2030年,2035年,2040年,2045年,rate,rate2
1425,上砂川町,3479,2947,2469,2046,1683,1374,1116,58.8,32.1
1427,由仁町,5314,4767,4240,3748,3276,2843,2443,70.5,46.0
1428,長沼町,11076,10401,9687,8946,8192,7419,6639,80.8,59.9
1429,栗山町,12344,11424,10465,9506,8531,7587,6687,77.0,54.2
1430,月形町,4577,4290,3966,3632,3293,2958,2623,79.4,57.3
1431,浦臼町,1985,1786,1590,1414,1242,1097,951,71.2,47.9
1432,新十津川町,6831,6354,5842,5317,4815,4315,3822,77.8,56.0
1433,妹背牛町,3091,2708,2348,2003,1690,1393,1134,64.8,36.7
1434,秩父別町,2513,2227,1972,1732,1505,1299,1112,68.9,44.2
1436,雨竜町,2749,2439,2153,1899,1668,1441,1226,69.1,44.6
1437,北竜町,1981,1777,1579,1393,1220,1061,915,70.3,46.2
1438,沼田町,3181,2781,2409,2062,1754,1468,1211,64.8,38.1
1452,鷹栖町,7018,6758,6393,6018,5663,5288,4906,85.8,69.9
1453,東神楽町,10233,10390,10399,10307,10123,9804,9379,100.7,91.7
1454,当麻町,6689,6224,5730,5230,4742,4247,3774,78.2,56.4
1455,比布町,3777,3429,3078,2743,2418,2116,1835,72.6,48.6
1456,愛別町,2976,2631,2311,2008,1730,1477,1256,67.5,42.2
1457,上川町,4044,3521,3008,2537,2140,1787,1485,62.7,36.7
1458,東川町,8111,7988,7805,7558,7268,6911,6537,93.2,80.6
1459,美瑛町,10292,9580,8844,8123,7441,6779,6146,78.9,59.7
1460,上富良野町,10826,9991,9160,8309,7470,6639,5848,76.8,54.0
1461,中富良野町,5069,4664,4251,3856,3481,3112,2749,76.1,54.2
1462,南富良野町,2555,2331,2126,1921,1730,1552,1380,75.2,54.0
1463,占冠村,1211,1005,852,728,612,514,423,60.1,34.9
1464,和寒町,3596,3184,2816,2473,2146,1850,1583,68.8,44.0
1465,剣淵町,3228,2940,2613,2322,2048,1779,1524,71.9,47.2
1468,下川町,3547,3161,2791,2443,2126,1830,1562,68.9,44.0
1469,美深町,4659,4132,3672,3231,2826,2450,2095,69.3,45.0
1470,音威子府村,832,681,571,487,408,341,282,58.5,33.9
1471,中川町,1767,1567,1372,1188,1022,870,736,67.2,41.7
1472,幌加内町,1525,1316,1127,961,822,695,582,63.0,38.2
1481,増毛町,4497,3933,3431,2969,2537,2153,1805,66.0,40.1
1482,小平町,3336,2959,2602,2278,1975,1703,1457,68.3,43.7
1483,苫前町,3265,2814,2413,2050,1739,1462,1216,62.8,37.2
1484,羽幌町,7327,6648,5975,5341,4722,4166,3646,72.9,49.8
1485,初山別村,1217,1052,900,769,661,563,474,63.2,38.9
1486,遠別町,2806,2507,2234,1976,1741,1523,1316,70.4,46.9
1487,天塩町,3243,2893,2553,2239,1941,1659,1398,69.0,43.1
1511,猿払村,2684,2524,2352,2189,2033,1872,1713,81.6,63.8
1512,浜頓別町,3881,3501,3137,2785,2450,2122,1813,71.8,46.7
1513,中頓別町,1757,1548,1338,1149,976,818,679,65.4,38.6
1514,枝幸町,8437,7691,6971,6268,5588,4951,4365,74.3,51.7
1516,豊富町,4054,3683,3324,2991,2669,2355,2051,73.8,50.6
1517,礼文町,2773,2413,2089,1803,1543,1307,1096,65.0,39.5
1518,利尻町,2303,1945,1645,1381,1152,954,789,60.0,34.3
1519,利尻富士町,2787,2420,2088,1801,1551,1321,1114,64.6,40.0
1520,幌延町,2447,2259,2058,1866,1689,1517,1352,76.3,55.3
1543,美幌町,20296,18988,17589,16156,14723,13274,11858,79.6,58.4
1544,津別町,5008,4433,3907,3398,2922,2494,2104,67.9,42.0
1545,斜里町,12231,11474,10660,9826,9006,8191,7396,80.3,60.5
1546,清里町,4221,3889,3500,3133,2784,2460,2163,74.2,51.2
1547,小清水町,5085,4771,4444,4106,3782,3452,3140,80.7,61.8
1549,訓子府町,5100,4712,4312,3911,3514,3127,2759,76.7,54.1
1550,置戸町,3092,2768,2456,2155,1870,1605,1364,69.7,44.1
1552,佐呂間町,5362,4837,4302,3794,3318,2863,2448,70.8,45.7
1555,遠軽町,20873,19412,17898,16385,14914,13497,12137,78.5,58.1
1559,湧別町,9231,8422,7623,6865,6153,5466,4800,74.4,52.0
1560,滝上町,2721,2401,2095,1803,1558,1335,1126,66.3,41.4
1561,興部町,3909,3543,3190,2860,2555,2258,1991,73.2,50.9
1562,西興部村,1116,1043,975,900,842,782,723,80.6,64.8
1563,雄武町,4525,4067,3616,3199,2811,2437,2095,70.7,46.3
1564,大空町,7360,6810,6250,5699,5181,4667,4154,77.4,56.4
1571,豊浦町,4291,3978,3671,3381,3116,2863,2612,78.8,60.9
1575,壮瞥町,2922,2685,2451,2225,2017,1815,1619,76.1,55.4
1578,白老町,17740,15976,14213,12455,10760,9180,7770,70.2,43.8
1581,厚真町,4838,4685,4368,4048,3742,3428,3110,83.7,64.3
1584,洞爺湖町,9299,8355,7443,6561,5722,4928,4213,70.6,45.3
1585,安平町,8148,7519,6874,6236,5620,5035,4491,76.5,55.1
1586,むかわ町,8596,7582,6632,5755,4937,4180,3495,66.9,40.7
1601,日高町,12378,11257,10131,9056,8045,7072,6165,73.2,49.8
1602,平取町,5315,4850,4396,3968,3561,3173,2816,74.7,53.0
1604,新冠町,5592,5293,4983,4671,4357,4049,3729,83.5,66.7
1607,浦河町,13075,11719,10422,9193,8019,6912,5879,70.3,45.0
1608,様似町,4518,3995,3482,3015,2587,2196,1839,66.7,40.7
1609,えりも町,4906,4443,3989,3560,3151,2748,2362,72.6,48.1
1610,新ひだか町,23231,21069,18911,16817,14822,12950,11197,72.4,48.2
1631,音更町,44807,44326,43428,42279,40983,39517,37785,94.4,84.3
1632,士幌町,6132,5824,5514,5217,4946,4659,4362,85.1,71.1
1633,上士幌町,4765,4406,4051,3728,3432,3147,2862,78.2,60.1
1634,鹿追町,5542,5355,5133,4910,4703,4478,4251,88.6,76.7
1635,新得町,6288,5808,5335,4882,4449,4046,3667,77.6,58.3
1636,清水町,9599,9162,8682,8189,7707,7235,6753,85.3,70.4
1637,芽室町,18484,17900,17172,16373,15559,14637,13620,88.6,73.7
1638,中札内村,3966,3825,3711,3569,3406,3236,3067,90.0,77.3
1639,更別村,3185,3070,2940,2809,2692,2568,2425,88.2,76.1
1641,大樹町,5738,5449,5134,4827,4532,4258,3977,84.1,69.3
1642,広尾町,7030,6374,5728,5104,4510,3939,3392,72.6,48.3
1643,幕別町,26760,26350,25937,25349,24651,23805,22841,94.7,85.4
1644,池田町,6882,6223,5574,4940,4333,3742,3195,71.8,46.4
1645,豊頃町,3182,2866,2573,2311,2068,1839,1622,72.6,51.0
1646,本別町,7358,6570,5801,5061,4368,3724,3130,68.8,42.5
1647,足寄町,6990,6354,5729,5142,4585,4073,3603,73.6,51.5
1648,陸別町,2482,2246,2025,1815,1615,1439,1275,73.1,51.4
1649,浦幌町,4919,4375,3848,3359,2920,2518,2149,68.3,43.7
1661,釧路町,19833,18824,17652,16402,15059,13605,12121,82.7,61.1
1662,厚岸町,9778,8957,8123,7305,6511,5770,5049,74.7,51.6
1663,浜中町,6061,5570,5091,4643,4200,3765,3349,76.6,55.3
1664,標茶町,7742,7172,6575,6002,5457,4924,4401,77.5,56.8
1665,弟子屈町,7758,7117,6470,5824,5199,4602,4045,75.1,52.1
1667,鶴居村,2534,2421,2277,2140,1991,1825,1651,84.5,65.2
1668,白糠町,8068,6909,5848,4904,4054,3297,2657,60.8,32.9
1691,別海町,15273,14554,13746,12915,12064,11150,10212,84.6,66.9
1692,中標津町,23774,23311,22611,21803,20853,19739,18480,91.7,77.7
1693,標津町,5242,4853,4456,4035,3623,3214,2823,77.0,53.9
1694,羅臼町,5415,4824,4286,3788,3312,2861,2434,70.0,44.9
2000,青森県,1308265,1235971,1157332,1076393,993737,908974,823610,82.3,63.0
2201,青森市,287648,273152,256812,239472,221365,202508,183528,83.3,63.8
2202,弘前市,177411,169672,160705,151287,141559,131389,120920,85.3,68.2
2203,八戸市,231257,223172,213146,201803,189274,175916,162127,87.3,70.1
2204,黒石市,34284,32032,29741,27468,25111,22704,20340,80.1,59.3
2205,五所川原市,55181,51385,47427,43527,39640,35751,31867,78.9,57.7
2206,十和田市,63429,60555,57248,53692,49975,46031,41907,84.6,66.1
2207,三沢市,40196,38589,36803,34956,33002,30969,28757,87.0,71.5
2208,むつ市,58493,55599,52417,49015,45407,41637,37851,83.8,64.7
2209,つがる市,33316,29677,26163,22900,19931,17131,14491,68.7,43.5
2210,平川市,32106,30224,28238,26245,24259,22213,20154,81.7,62.8
2301,平内町,11142,10025,8917,7834,6789,5782,4846,70.3,43.5
2303,今別町,2756,2332,1950,1609,1306,1034,798,58.4,29.0
2304,蓬田村,2896,2669,2429,2183,1945,1705,1477,75.4,51.0
2307,外ヶ浜町,6198,5327,4511,3773,3119,2534,2024,60.9,32.7
2321,鰺ヶ沢町,10126,8882,7719,6647,5688,4795,3959,65.6,39.1
2323,深浦町,8429,7304,6244,5278,4415,3638,2956,62.6,35.1
2343,西目屋村,1415,1238,1088,953,827,717,611,67.3,43.2
2361,藤崎町,15179,14331,13400,12460,11502,10519,9522,82.1,62.7
2362,大鰐町,9676,8443,7292,6225,5274,4417,3649,64.3,37.7
2367,田舎館村,7783,7299,6788,6259,5712,5162,4618,80.4,59.3
2381,板柳町,13935,12565,11214,9917,8691,7521,6428,71.2,46.1
2384,鶴田町,13392,12501,11577,10665,9757,8848,7940,79.6,59.3
2387,中泊町,11187,9722,8344,7090,5966,4947,4021,63.4,35.9
2401,野辺地町,13524,12663,11714,10735,9770,8802,7829,79.4,57.9
2402,七戸町,15709,14416,13126,11843,10611,9406,8227,75.4,52.4
2405,六戸町,10423,10236,9945,9591,9199,8764,8278,92.0,79.4
2406,横浜町,4535,4193,3836,3479,3146,2824,2517,76.7,55.5
2408,東北町,17955,16789,15545,14329,13120,11896,10657,79.8,59.4
2411,六ヶ所村,10536,9976,9382,8791,8199,7583,6955,83.4,66.0
